Postcode	age18_24	age25_34	age35_54	age_55	genderMale	employed	selfEmployed	student	eduLower	eduMid	eduUni	license	commuteBike	commutePT	commuteNS	distWork	usedUber	hhSize	hhChild	nbrCarHH	incLevel_30k	incLevel30_60k	incLevel60k	csMember	choice
3039	0	1	0	0	1	1	0	0	0	0	1	1	1	1	0	3	0	2	0	2	0	1	0	0	1
2548	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	3	0	3	0	3	0	0	0	0	0
3071	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	5	1	1	0	1	0	1	0	0	1
3551	0	0	1	0	1	1	0	0	0	1	0	1	0	1	0	4	0	4	1	2	0	1	0	0	1
3067	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	6	0	2	0	2	0	0	0	0	3
3055	1	0	0	0	1	1	0	0	1	0	0	1	0	1	0	5	0	7	5	1	0	0	1	1	0
2492	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1	5	0	2	0	2	0	1	0	0	3
2564	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	3	0	2	0	1	0	1	0	0	2
3077	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	6	0	3	0	4	0	0	1	0	1
3534	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	6	0	2	0	2	0	0	1	0	2
3043	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	3	0	2	0	2	0	1	0	0	0
3514	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	6	0	2	0	2	0	0	1	1	2
2546	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	5	1	2	1	2	0	1	0	0	1
2492	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	7	0	2	0	2	0	0	1	0	0
2523	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0
3522	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	4	0	3	0	2	1	0	0	0	3
3526	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	4	0	4	2	2	1	0	0	1	0
2512	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	3	0	1	0	2	0	1	0	0	0
2562	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	7	0	4	2	2	0	1	0	0	2
3031	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	4	1	2	0	2	0	1	0	0	0
